Index	norge	modell	likestilling	paradoks	myte	voldta
20190101-108-omkom-pa-norske-	0	0	0	0	0	0
20190101-16-fikk-oyeskader-av	2	0	0	0	0	0
20190101-aafk-malets-agent---	0	0	0	0	0	0
20190101-aftenposten-mener-fa	1	0	0	0	0	0
20190101-atte-av-ti-norske-kv	1	0	0	0	0	0
20190101-aubameyang-forbi-sal	0	0	0	0	0	0
20190101-bekreftet-orjan-nyla	1	0	0	0	0	0
20190101-boligbrann-pa-rjukan	0	0	0	0	0	0
20190101-brann-helten-som-ble	0	0	0	0	0	0
20190101-bror-til-spionsiktet	0	0	0	0	0	0
20190101-de-som-rydder-etter-	3	0	0	0	0	0
20190101-det-er-normalt-a-var	0	0	0	0	0	0
20190101-det-europeiske-serie	0	0	0	0	0	0
20190101-dette-er-arets-ti-be	0	0	0	0	0	0
20190101-dr-hook-vokalist-ray	0	0	0	0	0	0
20190101-drapssiktet-mann-i-h	0	0	0	0	0	0
20190101-enebolig-brant-i-hau	0	0	0	0	0	0
20190101-erna-solbergs-nyttar	10	1	0	0	0	0
20190101-ferguson-besokte-sol	0	0	0	0	0	0
20190101-for-et-par-ar-siden-	0	0	0	0	0	0
20190101-for-fa-ar-siden-veid	0	0	0	0	0	0
20190101-foreldre-fant-rev-i-	0	0	0	0	0	0
20190101-forskerne-undersokte	1	0	0	0	0	0
20190101-gikk-du-glipp-av-fyr	0	0	0	0	0	0
20190101-gratende-weng-frykte	2	0	0	0	0	0
20190101-hay-om-aafk-overgang	0	0	0	0	0	0
20190101-helseministeren-tils	0	0	0	0	0	0
20190101-i-molde-har-folk-mas	0	0	0	0	0	0
20190101-ikke-fulgt-med-pa-ny	0	0	0	0	0	0
20190101-japaneren-herjer-i-h	1	0	0	0	0	0
20190101-japansk-seier-pa-sku	1	0	0	0	0	0
20190101-kastet-fyrverkeri-in	0	0	0	0	0	0
20190101-kim-jong-un-sier-han	0	0	0	0	0	0
20190101-klabo-smadret-konkur	3	0	0	0	0	0
20190101-klabo-suverent-best-	0	0	0	0	0	0
20190101-kort-sagt-onsdag-2-j	1	2	1	0	0	0
20190101-kristoffersen-sjanse	0	0	0	0	0	0
20190101-kunstneren-dagfinn-b	1	0	0	0	0	0
20190101-kvinne-funnet-dod-et	0	0	0	0	0	0
20190101-lei-start-pa-2019---	0	0	0	0	0	0
20190101-lingard-roser-solskj	0	0	0	0	0	0
20190101-mann-drepte-seks-og-	0	0	0	0	0	0
20190101-mann-pagrepet-for-br	0	0	0	0	0	0
20190101-mann-skadet-under-av	0	0	0	0	0	0
20190101-mener-klabo-ma-stopp	0	0	0	0	0	0
20190101-mowinckel-snart-vm-k	0	0	0	0	0	0
20190101-ni-skadet-da-mann-me	0	0	0	0	0	0
20190101-norsk-opptur-da-nils	2	0	0	0	0	0
20190101-ny-jobb-i-ar-atte-ti	0	0	0	0	0	0
20190101-nyttarsaften-utfordr	0	0	0	0	0	0
20190101-nyttarsbarn-i-tonsbe	1	0	0	0	0	0
20190101-oslo-har-i-underkant	1	0	0	0	0	0
20190101-over-30-drept-i-angr	0	0	0	0	0	0
20190101-refser-idrettstoppen	1	0	0	0	0	0
20190101-regjeringsflokene-fr	0	0	0	0	0	0
20190101-rekordlavt-antall-dr	0	0	0	0	0	0
20190101-risikerte-a-bli-send	0	0	0	0	0	0
20190101-ruud-lekte-seg-til-s	0	0	0	0	0	0
20190101-se-bildene-fra-hele-	1	0	0	0	0	0
20190101-skudd-mot-mosk-i-mal	0	0	0	0	0	0
20190101-skuespilleren-nils-u	0	0	0	0	0	0
20190101-statsministeren-bruk	2	2	0	0	0	0
20190101-stengte-veier-over-h	5	0	0	0	0	0
20190101-stigende-dodstall-et	0	0	0	0	0	0
20190101-storbrann-i-hyttefel	0	0	0	0	0	0
20190101-to-ulver-skutt-i-try	0	0	0	0	0	0
