Index	likestilling	modell	paradoks	myte	voldta
20050412	4	0	1	0	0
20050413	4	0	1	0	0
20050414	4	0	1	0	0
20050415	4	0	1	0	0
20050416	4	0	1	0	0
20050417	4	0	1	0	0
20050418	0	2	0	0	0
20050419	0	1	1	0	0
20050420	0	0	0	0	0
20050421	0	1	2	0	0
20050422	0	1	0	1	0
20050423	0	0	0	0	0
20050424	0	2	0	0	0
20050425	0	5	0	0	0
20050426	0	2	0	0	0
20050427	0	1	2	0	0
20050428	0	2	0	0	0
20050429	0	0	0	0	0
20050430	0	0	1	0	0
20050501	1	0	0	0	0
20050502	0	1	2	0	0
20050503	0	0	1	0	1
20050504	10	2	0	0	0
20050505	0	0	0	0	0
20050506	0	6	2	0	0
20050507	5	2	0	0	0
20050508	1	1	0	0	0
20050509	0	0	1	0	0
20050510	0	0	0	4	2
20050511	6	5	1	2	2
20050512	8	2	0	0	0
20050513	1	0	0	0	0
20050514	0	1	1	1	0
20050515	0	1	0	1	0
20050516	0	0	0	0	0
20050517	0	0	0	0	0
20050518	1	1	0	0	0
20050519	1	3	0	1	1
20050520	0	1	0	0	0
20050521	0	1	0	0	2
20050522	0	2	0	0	0
20050523	0	0	1	0	0
20050524	0	0	0	0	0
20050525	1	1	0	0	0
20050526	0	4	0	0	0
20050527	0	2	1	0	0
20050528	0	1	0	0	0
20050529	0	1	0	0	0
20050530	5	0	1	0	0
20050531	5	0	0	0	0
20050601	0	0	0	1	0
20050602	0	1	0	0	0
20050603	0	0	0	0	0
20050604	0	0	2	0	0
20050605	0	2	0	0	0
20050606	0	0	0	0	0
20050607	1	0	0	0	0
20050608	1	0	0	0	0
20050609	0	0	0	0	0
20050610	0	0	0	0	0
20050611	2	1	0	0	0
20050612	0	0	0	0	0
20050613	4	2	0	0	0
20050614	0	0	0	1	0
20050615	0	1	0	0	0
20050616	0	1	2	0	0
20050617	3	0	0	1	0
20050618	0	0	0	0	0
20050619	0	0	0	0	0
20050620	0	1	0	0	0
20050621	1	2	2	0	0
