Index	norge	modell	likestilling	paradoks	myte	voldta
20190101---russland-er-den-fr	0	0	0	0	0	0
20190101-2019-har-begynt---fe	1	0	0	0	0	0
20190101-dette-skjedde-natt-t	1	0	0	0	0	0
20190101-domt-til-livstid-for	0	0	0	0	0	0
20190101-dr-hook-vokalist-ray	0	0	0	0	0	0
20190101-fly-avbrot-landing-p	0	0	0	0	0	0
20190101-frykt-kan-gi-hoyrebo	2	0	0	0	0	0
20190101-hvert-fjerde-drapsof	8	0	0	0	0	0
20190101-jensencappelen-saken	3	0	0	0	0	0
20190101-kevin-spacey-blir-ti	0	0	0	0	0	0
20190101-kunstneren-dagfinn-b	1	0	0	0	0	0
20190101-nils-utsi-er-dod	0	0	0	0	0	0
20190101-ostberg-beste-norske	0	0	0	0	0	0
20190101-rekordmange-inkluder	0	0	0	0	0	0
20190101-siri-dokkens-2018	0	0	0	0	0	0
20190101-statsministeren-beky	1	3	0	0	0	0
20190101-to-nyttarsbarn-fodt-	1	0	0	0	0	0
20190102---ingen-kjenner-barn	0	0	0	0	0	0
20190102---russland-er-den-fr	0	0	0	0	0	0
20190102-2018s-40-mest-leste-	2	0	0	0	0	1
20190102-abortlovens-mor-er-d	1	0	0	0	0	0
20190102-chelsea-sikret-seg-s	0	0	0	0	0	0
20190102-fullfor-gutter	0	0	0	0	0	0
20190102-gravurner-med-aske-v	0	0	0	0	0	0
20190102-her-svever-verdens-b	1	0	0	0	0	0
20190102-iversen-vant-i-obers	0	0	0	0	0	0
20190102-jensen-optimistisk-f	0	0	0	0	0	0
20190102-klabo-gikk-superprol	0	0	0	0	0	0
20190102-millionledere-yngler	0	1	0	0	0	0
20190102-na-er-fylkesmannen-i	3	0	0	0	0	0
20190102-nilsson-best-da-atte	1	0	0	0	0	0
20190102-ogsa-klabo-kan-hoppe	4	0	0	0	0	0
20190102-ol-ga-opptur-pa-tv-m	0	0	0	0	0	0
20190102-ostberg-i-forersetet	0	0	0	0	0	0
20190102-paven---bedre-a-vare	0	0	0	0	0	0
20190102-reagerer-pa-at-dn-si	0	0	0	0	0	0
20190102-seks-omkom-i-togulyk	1	0	0	0	0	0
20190102-trump-foreslar-avtal	0	0	0	0	0	0
20190102-vil-tvinge-svake-ele	0	0	0	0	0	0
20190102-weng-forstuet-tommel	0	0	0	0	0	0
20190102-zuccarello-avsluttet	0	0	0	0	0	0
20190103---et-tydelig-generas	10	0	0	0	0	0
20190103---ma-kjore-min-stil	0	0	0	0	0	0
20190103---tvang-ingen-losnin	0	0	0	0	0	0
20190103-70-prosent-av-partif	0	0	0	0	0	0
20190103-abortsaken-skaper-fr	0	0	0	0	0	0
20190103-apner-miljoaret	0	0	0	0	0	0
20190103-atte-omkom-i-togulyk	0	0	0	0	0	0
20190103-darligst-punktlighet	1	0	0	0	0	0
20190103-das-boot-dodsfrykt-i	0	0	0	0	0	0
20190103-flugstad-ostberg-okt	0	0	0	0	0	0
20190103-for-farlig-a-sette-i	0	0	0	0	0	0
20190103-full-isfront-mellom-	0	0	0	0	0	0
20190103-gigantisk-kursfall-f	0	0	0	0	0	0
20190103-gransker-togfart-i-s	0	0	0	0	0	0
20190103-hun-er-det-forste-ko	0	0	0	0	0	0
20190103-ingen-losning-pa-ned	0	0	0	0	0	0
20190103-jacobsen-ma-bryte-to	2	0	0	0	0	0
20190103-kinesisk-sonde-lande	0	0	0	0	0	0
20190103-klabo-apen-for-a-ful	1	0	0	0	0	0
20190103-klagene-har-falt-med	0	0	0	0	0	0
20190103-krever-ny-handling-m	4	0	0	0	0	0
20190103-kvinnelige-fotballfa	0	0	0	0	0	0
20190103-magnus-seriost-morso	0	0	0	0	0	0
20190103-mathilde-tybring-gje	1	0	0	0	0	0
20190103-na-har-ogsa-rosenbor	1	0	0	0	0	0
20190103-nancy-pelosi-er-usas	0	0	0	0	0	0
20190103-ofrene-fra-togulykke	0	0	0	0	0	0
20190103-oslo-politimester-in	0	1	0	0	0	0
20190103-over-12000-ville-ikk	0	0	0	0	0	0
20190103-politiet-vurderer-re	1	0	0	0	0	0
20190103-professor-norge-mang	3	0	0	0	0	0
20190103-slik-spilles-vm-i-ha	8	0	0	0	0	0
20190103-trumps-fornarmelser-	0	0	0	0	0	0
20190103-tusenvis-ma-ta-trikk	0	0	0	0	0	0
20190103-uniteds-fjerde-strak	0	0	0	0	0	0
20190103-utsetter-livreddende	1	0	0	0	0	0
20190103-vil-tvinge-norsksvak	0	0	0	0	0	0
20190104---sonja-henie-kan-va	1	0	0	0	0	0
20190104-abortsaken-skaper-fr	0	0	0	0	0	0
20190104-casper-ruud-trekker-	0	0	0	0	0	0
20190104-das-boot-dodsfrykt-i	0	0	0	0	0	0
20190104-derfor-forsvarer-de-	1	0	0	0	0	0
20190104-fordoyd-og-konsertkl	0	0	0	0	0	0
20190104-forsikringsselskap-b	0	0	0	0	0	0
20190104-haugesund-reagerer-p	1	0	0	0	0	0
20190104-heimebane-2-far-forp	0	0	0	0	0	0
20190104-helikopter-har-funne	0	0	0	0	0	0
20190104-hoppsjefen-om-disken	0	0	0	0	0	0
20190104-kaotisk-rbk-dag---vi	0	0	0	0	0	0
20190104-kjedelig-brod-fra-bu	6	0	0	0	0	0
20190104-kystvakten-bekymret-	0	0	0	0	0	0
20190104-magnus-seriost-morso	0	0	0	0	0	0
20190104-nei-helvete-har-du-i	0	0	0	0	0	0
20190104-nettavisen-stenger-k	0	0	0	0	0	0
20190104-og-hvis-nesa-di-er-s	0	0	0	0	0	0
20190104-positive-takter-fra-	0	0	0	0	0	0
20190104-ramunas-gudas-ble-sk	1	0	0	0	0	0
20190104-sa-kom-liverpools-fo	0	0	0	0	0	0
20190104-skuler-pa-hverandre	0	0	0	0	0	0
20190104-slik-skal-oslo-bruke	1	0	0	0	0	0
20190104-stadig-flere-ledere-	0	1	0	0	0	0
20190104-stjernen-pa-pallen-d	0	0	0	0	0	0
20190104-tempel-der-mennesker	0	0	0	0	0	0
20190104-tente-i-peisen---mat	0	0	0	0	0	0
20190104-tinghus-optimisme-et	0	0	0	0	0	0
20190104-topper-i-regjeringsp	0	0	0	0	0	0
20190104-travelt-ar-for-sukse	0	0	0	0	0	0
20190104-unge-hoyre-leder-tar	1	0	0	0	0	0
20190104-vif-med-storseier-me	0	0	0	0	0	0
20190105---skolene-kan-ikke-k	0	0	0	0	0	0
20190105---varet-i-2018-var-d	0	0	0	0	0	0
20190105-1969---enden-av-en-a	0	0	0	0	0	0
20190105-arhundrets-funn-fra-	0	0	0	0	0	0
20190105-denne-dietten-er-kar	1	0	0	0	0	0
20190105-du-verden-for-en-bab	0	0	0	0	0	0
20190105-hiphopkronikoren	0	0	0	0	0	0
20190105-hoyrepopulister-har-	0	0	0	0	0	0
20190105-jeg-dro-pa-apninga-a	0	0	0	0	0	0
20190105-kan-ga-mot-ny-krf-st	0	0	0	0	0	0
20190105-klabo-med-kjempeutga	0	0	0	0	0	0
20190105-kristopher-schau-om-	3	0	0	0	0	0
20190105-null-lonnsstyring	1	0	0	0	0	0
20190105-ny-rasisme-artikkel-	4	0	0	0	0	0
20190105-oppfordrer-til-boiko	0	0	0	0	0	0
20190105-ostberg-koblet-grepe	0	0	0	0	0	0
20190105-politiet-brukte-tare	0	0	0	0	0	0
20190105-riise-blir-sportsdir	2	0	0	0	0	0
20190105-solskjar-og-united-g	0	0	0	0	0	0
20190105-stadig-flere-reiser-	0	0	0	0	0	0
20190105-utpressingssak-opp-f	0	0	0	0	0	0
20190106---a-motsette-seg-avt	0	0	0	0	0	0
20190106---fotballtrener-send	0	0	0	0	0	0
20190106---varet-i-2018-var-d	0	0	0	0	0	0
20190106-alexander-os-vant-fe	0	0	0	0	0	0
20190106-demokrater-varsler-r	0	0	0	0	0	0
20190106-departementet-vil-ik	1	0	0	0	0	0
20190106-dette-var-de-mest-om	2	0	0	0	0	0
20190106-dette-var-toppsakene	2	0	0	0	0	0
20190106-drommedestinasjonene	3	0	0	0	0	0
20190106-enga-stakk-av-med-me	2	0	0	0	0	0
20190106-grusom-skade-oversky	0	0	0	0	0	0
20190106-mann-tiltalt-for-a-h	0	0	0	0	0	0
20190106-ostberg-gikk-til-top	0	0	0	0	0	0
